measurement_id,motor_id,timestamp,temperature,courant,vibration,acceleration,thdi,thdu,vitesse,cosphi,Alert_Status,alert_parameter,alert_code
661,1,2025-04-08 15:15:00,35.1063,50.2133,0.466995,0.370931,0.0,0.0,1496.24,0.85,NORMAL,,
681,1,2025-04-08 15:30:00,36.9939,56.696,0.585774,0.273172,0.0,0.0,1493.28,0.85,NORMAL,,
701,1,2025-04-08 15:45:00,26.771,60.99,0.638712,0.40287,0.0,0.0,1495.96,0.85,NORMAL,,
721,1,2025-04-08 16:00:00,34.1065,56.8445,0.922318,0.118677,0.0,0.0,1496.11,0.85,NORMAL,,
741,1,2025-04-08 16:15:00,30.3747,55.0159,0.418873,0.474108,0.0,0.0,1496.86,0.85,NORMAL,,
761,1,2025-04-08 16:30:00,33.6974,68.9019,0.77353,0.278507,0.0,0.0,1498.15,0.85,ALERT,courant,ALERT_1_COURANT
781,1,2025-04-08 16:45:00,33.764,52.7505,0.896839,0.256086,0.0,0.0,1500.35,0.85,NORMAL,,
801,1,2025-04-09 07:00:00,41.8196,55.2786,0.472909,0.238489,0.0,0.0,1493.67,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
821,1,2025-04-09 07:15:00,34.2899,55.2341,0.643489,0.281412,0.0,0.0,1491.74,0.85,NORMAL,,
841,1,2025-04-09 07:30:00,30.7501,56.6861,0.36053,0.0735176,0.0,0.0,1491.27,0.85,NORMAL,,
861,1,2025-04-09 07:45:00,42.1701,64.2342,0.467765,0.402407,0.0,0.0,1497.87,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
881,1,2025-04-09 08:00:00,30.5526,54.5056,0.998131,0.0842906,0.0,0.0,1500.16,0.85,NORMAL,,
901,1,2025-04-09 08:15:00,47.081,47.1733,0.858909,0.166677,0.0,0.0,1490.46,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
921,1,2025-04-09 08:30:00,37.893,53.1999,0.580469,0.270952,0.0,0.0,1488.52,0.85,NORMAL,,
941,1,2025-04-09 08:45:00,34.7278,52.9397,0.43444,0.419567,0.0,0.0,1499.35,0.85,NORMAL,,
961,1,2025-04-09 09:00:00,37.5503,55.5795,0.68004,0.176294,0.0,0.0,1498.09,0.85,NORMAL,,
981,1,2025-04-09 09:15:00,32.4599,54.2445,0.805683,0.427637,0.0,0.0,1499.09,0.85,NORMAL,,
1001,1,2025-04-09 09:30:00,30.7319,62.6984,0.498993,0.187848,0.0,0.0,1494.78,0.85,NORMAL,,
1021,1,2025-04-09 09:45:00,30.3032,66.7382,0.686321,0.384361,0.0,0.0,1497.79,0.85,ALERT,courant,ALERT_1_COURANT
1041,1,2025-04-09 10:00:00,28.8827,59.7514,0.920362,0.393484,0.0,0.0,1494.4,0.85,NORMAL,,
1061,1,2025-04-09 10:15:00,40.1984,64.9906,0.978315,0.23541,0.0,0.0,1493.19,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1081,1,2025-04-09 10:30:00,38.884,53.9288,0.699436,0.367448,0.0,0.0,1501.32,0.85,NORMAL,,
1101,1,2025-04-09 10:45:00,27.5972,58.471,0.722902,0.381521,0.0,0.0,1500.54,0.85,NORMAL,,
1121,1,2025-04-09 11:00:00,26.6086,56.5286,0.648319,0.211824,0.0,0.0,1492.02,0.85,NORMAL,,
1141,1,2025-04-09 11:15:00,37.8382,57.896,0.689181,0.378291,0.0,0.0,1496.18,0.85,NORMAL,,
1161,1,2025-04-09 11:30:00,41.3014,54.3137,1.04886,0.371402,0.0,0.0,1491.55,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1181,1,2025-04-09 11:45:00,46.7605,60.083,0.633994,0.378022,0.0,0.0,1494.99,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1201,1,2025-04-09 12:00:00,37.6712,50.6929,0.289437,0.40809,0.0,0.0,1501.02,0.85,NORMAL,,
1221,1,2025-04-09 12:15:00,46.7156,53.1969,0.945407,0.167443,0.0,0.0,1492.93,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1241,1,2025-04-09 12:30:00,35.6999,61.4837,0.803897,0.350326,0.0,0.0,1498.25,0.85,NORMAL,,
1261,1,2025-04-09 12:45:00,31.0343,59.1715,0.722718,0.476866,0.0,0.0,1499.68,0.85,NORMAL,,
1281,1,2025-04-09 13:00:00,30.7498,55.8845,0.642018,0.380096,0.0,0.0,1489.75,0.85,NORMAL,,
1301,1,2025-04-09 13:15:00,40.0423,59.3098,0.905781,0.2127,0.0,0.0,1498.11,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1321,1,2025-04-09 13:30:00,40.2016,68.7083,0.499568,0.350701,0.0,0.0,1488.43,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1341,1,2025-04-09 13:45:00,42.4083,54.1232,0.544634,0.281948,0.0,0.0,1496.45,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1361,1,2025-04-09 14:00:00,28.1422,51.2674,1.02533,0.268399,0.0,0.0,1496.98,0.85,ALERT,vibration,ALERT_1_VIBRATION
1381,1,2025-04-09 14:15:00,42.1103,58.262,0.640191,0.247398,0.0,0.0,1497.45,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1401,1,2025-04-09 14:30:00,24.5285,60.2404,0.654191,0.366289,0.0,0.0,1488.31,0.85,NORMAL,,
1421,1,2025-04-09 14:45:00,37.9612,64.8869,0.634199,0.223975,0.0,0.0,1498.65,0.85,ALERT,courant,ALERT_1_COURANT
1441,1,2025-04-09 15:00:00,25.8345,63.3401,0.906559,0.26604,0.0,0.0,1495.85,0.85,NORMAL,,
1461,1,2025-04-09 15:15:00,25.917,57.6953,1.13701,0.311076,0.0,0.0,1495.76,0.85,ALERT,vibration,ALERT_1_VIBRATION
1481,1,2025-04-09 15:30:00,40.5406,58.3877,0.564826,0.327836,0.0,0.0,1496.07,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1501,1,2025-04-09 15:45:00,33.0505,62.7609,0.518917,0.180036,0.0,0.0,1493.7,0.85,NORMAL,,
1521,1,2025-04-09 16:00:00,40.4879,57.9791,0.550192,0.350521,0.0,0.0,1490.87,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1541,1,2025-04-09 16:15:00,34.8366,62.9934,0.718787,0.141651,0.0,0.0,1496.33,0.85,NORMAL,,
1561,1,2025-04-09 16:30:00,43.1034,57.4613,0.772693,0.234957,0.0,0.0,1485.84,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1581,1,2025-04-09 16:45:00,28.4443,55.4436,0.802767,0.296363,0.0,0.0,1491.4,0.85,NORMAL,,
1601,1,2025-04-10 07:00:00,35.1904,67.2309,0.684804,0.267224,0.0,0.0,1491.65,0.85,ALERT,courant,ALERT_1_COURANT
1621,1,2025-04-10 07:15:00,39.0664,56.1167,0.629527,0.317448,0.0,0.0,1485.59,0.85,NORMAL,,
1641,1,2025-04-10 07:30:00,29.4819,57.5494,0.911579,0.322163,0.0,0.0,1490.72,0.85,NORMAL,,
1661,1,2025-04-10 07:45:00,47.7782,63.3164,0.60586,0.264746,0.0,0.0,1497.59,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1681,1,2025-04-10 08:00:00,35.9556,53.5009,0.577792,0.256926,0.0,0.0,1485.37,0.85,NORMAL,,
1701,1,2025-04-10 08:15:00,53.7515,47.7012,0.682181,0.408633,0.0,0.0,1487.8,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1721,1,2025-04-10 08:30:00,32.476,57.6076,0.603149,0.292404,0.0,0.0,1492.81,0.85,NORMAL,,
1741,1,2025-04-10 08:45:00,39.5677,48.8192,0.797768,0.243203,0.0,0.0,1495.5,0.85,NORMAL,,
1761,1,2025-04-10 09:00:00,37.5362,61.8722,0.804964,0.285677,0.0,0.0,1488.84,0.85,NORMAL,,
1781,1,2025-04-10 09:15:00,34.1032,49.2577,0.6797,0.100381,0.0,0.0,1504.97,0.85,NORMAL,,
1801,1,2025-04-10 09:30:00,30.9693,55.0181,0.296996,0.230777,0.0,0.0,1484.54,0.85,NORMAL,,
1821,1,2025-04-10 09:45:00,31.7391,55.3033,0.627733,0.245649,0.0,0.0,1487.26,0.85,NORMAL,,
1841,1,2025-04-10 10:00:00,35.773,60.4935,0.712505,0.109564,0.0,0.0,1498.44,0.85,NORMAL,,
1861,1,2025-04-10 10:15:00,41.1154,63.4197,0.787483,0.15074,0.0,0.0,1491.63,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
1881,1,2025-04-10 10:30:00,16.8565,54.2184,0.73692,0.4271,0.0,0.0,1495.94,0.85,NORMAL,,
1901,1,2025-04-10 10:45:00,31.9677,60.3033,0.891534,0.219238,0.0,0.0,1494.03,0.85,NORMAL,,
1921,1,2025-04-10 11:00:00,32.8568,59.4803,0.886011,0.216742,0.0,0.0,1498.5,0.85,NORMAL,,
1941,1,2025-04-10 11:15:00,34.0988,60.505,0.651556,0.162966,0.0,0.0,1495.89,0.85,NORMAL,,
1961,1,2025-04-10 11:30:00,38.6829,55.3453,0.445823,0.225001,0.0,0.0,1498.55,0.85,NORMAL,,
1981,1,2025-04-10 11:45:00,38.9672,62.2475,0.715108,0.448552,0.0,0.0,1496.14,0.85,NORMAL,,
2001,1,2025-04-10 12:00:00,34.3044,53.303,0.195621,0.222018,0.0,0.0,1492.78,0.85,NORMAL,,
2021,1,2025-04-10 12:15:00,34.4149,50.1941,0.661327,0.37332,0.0,0.0,1499.42,0.85,NORMAL,,
2041,1,2025-04-10 12:30:00,38.1031,63.8574,0.599644,0.361574,0.0,0.0,1499.9,0.85,NORMAL,,
2061,1,2025-04-10 12:45:00,42.404,55.777,0.573978,0.216441,0.0,0.0,1495.95,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
2081,1,2025-04-10 13:00:00,34.2329,54.601,0.537412,0.229534,0.0,0.0,1496.24,0.85,NORMAL,,
2101,1,2025-04-10 13:15:00,29.3612,60.5567,0.568085,0.408067,0.0,0.0,1494.68,0.85,NORMAL,,
2121,1,2025-04-10 13:30:00,33.9432,56.6682,0.591251,0.268465,0.0,0.0,1492.4,0.85,NORMAL,,
2141,1,2025-04-10 13:45:00,35.2952,54.8887,0.877952,0.247762,0.0,0.0,1495.37,0.85,NORMAL,,
2161,1,2025-04-10 14:00:00,30.8405,66.7549,0.528689,0.295705,0.0,0.0,1497.6,0.85,ALERT,courant,ALERT_1_COURANT
2181,1,2025-04-10 14:15:00,53.4971,62.3943,0.650693,0.206722,0.0,0.0,1495.22,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
2201,1,2025-04-10 14:30:00,34.4527,57.0779,0.927368,0.234107,0.0,0.0,1486.77,0.85,NORMAL,,
2221,1,2025-04-10 14:45:00,38.4203,63.6651,0.937276,0.324317,0.0,0.0,1497.89,0.85,NORMAL,,
2241,1,2025-04-10 15:00:00,36.7769,57.0509,0.521465,0.26239,0.0,0.0,1492.38,0.85,NORMAL,,
2261,1,2025-04-10 15:15:00,31.6968,53.6744,0.799175,0.273023,0.0,0.0,1496.75,0.85,NORMAL,,
2281,1,2025-04-10 15:30:00,25.0781,59.5315,0.660541,0.164154,0.0,0.0,1490.98,0.85,NORMAL,,
2301,1,2025-04-10 15:45:00,39.3088,51.7431,0.871893,0.318814,0.0,0.0,1490.88,0.85,NORMAL,,
2321,1,2025-04-10 16:00:00,41.772,59.7885,0.414491,0.205615,0.0,0.0,1482.03,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
2341,1,2025-04-10 16:15:00,33.0459,54.5611,1.00871,0.385189,0.0,0.0,1494.22,0.85,ALERT,vibration,ALERT_1_VIBRATION
2361,1,2025-04-10 16:30:00,29.7911,56.0019,0.453698,0.260878,0.0,0.0,1485.24,0.85,NORMAL,,
2381,1,2025-04-10 16:45:00,36.218,57.9278,0.597501,0.508648,0.0,0.0,1490.54,0.85,ALERT,acceleration,ALERT_1_ACCELERATION
2401,1,2025-04-11 07:00:00,37.7418,58.6728,0.517921,0.374149,0.0,0.0,1495.66,0.85,NORMAL,,
2421,1,2025-04-11 07:15:00,37.1461,52.7975,0.346694,0.278726,0.0,0.0,1499.89,0.85,NORMAL,,
2441,1,2025-04-11 07:30:00,38.3533,55.9472,1.03501,0.350787,0.0,0.0,1489.53,0.85,ALERT,vibration,ALERT_1_VIBRATION
2461,1,2025-04-11 07:45:00,37.481,62.8403,0.775869,0.246819,0.0,0.0,1497.32,0.85,NORMAL,,
2481,1,2025-04-11 08:00:00,37.1334,60.1931,0.657585,0.431356,0.0,0.0,1495.33,0.85,NORMAL,,
2501,1,2025-04-11 08:15:00,36.0347,51.1793,0.740925,0.392016,0.0,0.0,1496.14,0.85,NORMAL,,
2521,1,2025-04-11 08:30:00,32.6656,53.3979,0.710319,0.328362,0.0,0.0,1491.06,0.85,NORMAL,,
2541,1,2025-04-11 08:45:00,32.2511,53.0624,0.733822,0.364439,0.0,0.0,1490.15,0.85,NORMAL,,
2561,1,2025-04-11 09:00:00,39.1519,57.5038,0.902611,0.319466,0.0,0.0,1488.32,0.85,NORMAL,,
2581,1,2025-04-11 09:15:00,36.2299,49.0752,0.759868,0.363845,0.0,0.0,1500.09,0.85,NORMAL,,
2601,1,2025-04-11 09:30:00,38.389,65.218,0.68702,0.345962,0.0,0.0,1495.34,0.85,ALERT,courant,ALERT_1_COURANT
2621,1,2025-04-11 09:45:00,38.2029,56.1966,0.624015,0.36981,0.0,0.0,1494.47,0.85,NORMAL,,
2641,1,2025-04-11 10:00:00,35.42,61.5632,0.663183,0.337208,0.0,0.0,1493.29,0.85,NORMAL,,
2661,1,2025-04-11 10:15:00,45.4363,52.2154,0.481746,0.300294,0.0,0.0,1492.53,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
2681,1,2025-04-11 10:30:00,31.1465,56.1209,0.846222,0.375632,0.0,0.0,1498.75,0.85,NORMAL,,
2701,1,2025-04-11 10:45:00,38.6834,57.0768,0.724987,0.254865,0.0,0.0,1497.47,0.85,NORMAL,,
2721,1,2025-04-11 11:00:00,37.3808,66.4003,0.493833,0.279586,0.0,0.0,1496.6,0.85,ALERT,courant,ALERT_1_COURANT
2741,1,2025-04-11 11:15:00,36.3358,53.1078,0.550818,0.0766057,0.0,0.0,1494.42,0.85,NORMAL,,
2761,1,2025-04-11 11:30:00,35.1564,62.4446,0.68111,0.209911,0.0,0.0,1488.31,0.85,NORMAL,,
2781,1,2025-04-11 11:45:00,37.0523,56.899,0.623101,0.31598,0.0,0.0,1489.14,0.85,NORMAL,,
2801,1,2025-04-11 12:00:00,36.2205,59.4983,0.358837,0.384465,0.0,0.0,1488.19,0.85,NORMAL,,
2821,1,2025-04-11 12:15:00,33.6981,58.3419,0.850437,0.18399,0.0,0.0,1490.41,0.85,NORMAL,,
2841,1,2025-04-11 12:30:00,36.0975,53.2925,0.771595,0.282832,0.0,0.0,1490.54,0.85,NORMAL,,
2861,1,2025-04-11 12:45:00,34.6033,61.3564,0.964957,0.349352,0.0,0.0,1486.53,0.85,NORMAL,,
2881,1,2025-04-11 13:00:00,32.922,54.5131,0.735645,0.15282,0.0,0.0,1496.97,0.85,NORMAL,,
2901,1,2025-04-11 13:15:00,29.6099,70.3517,0.69167,0.220144,0.0,0.0,1502.5,0.85,ALERT,courant,ALERT_1_COURANT
2921,1,2025-04-11 13:30:00,41.9713,53.1068,0.241476,0.168044,0.0,0.0,1498.13,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
2941,1,2025-04-11 13:45:00,38.6629,61.0759,1.05719,0.38149,0.0,0.0,1491.38,0.85,ALERT,vibration,ALERT_1_VIBRATION
2961,1,2025-04-11 14:00:00,24.956,58.6597,0.46602,0.339895,0.0,0.0,1494.58,0.85,NORMAL,,
2981,1,2025-04-11 14:15:00,31.0817,58.7825,0.861976,0.201826,0.0,0.0,1492.02,0.85,NORMAL,,
3001,1,2025-04-11 14:30:00,32.5555,64.6564,1.13219,0.286317,0.0,0.0,1496.5,0.85,ALERT,courant,ALERT_1_COURANT
3021,1,2025-04-11 14:45:00,27.7141,63.4393,0.625343,0.266187,0.0,0.0,1489.77,0.85,NORMAL,,
3041,1,2025-04-11 15:00:00,30.1321,51.1552,0.75378,0.235558,0.0,0.0,1486.45,0.85,NORMAL,,
3061,1,2025-04-11 15:15:00,42.5972,62.0877,0.800214,0.14283,0.0,0.0,1491.6,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3081,1,2025-04-11 15:30:00,39.1952,60.2943,0.728905,0.264767,0.0,0.0,1503.35,0.85,NORMAL,,
3101,1,2025-04-11 15:45:00,32.6341,49.3924,0.924739,0.347638,0.0,0.0,1498.21,0.85,NORMAL,,
3121,1,2025-04-11 16:00:00,34.305,56.5318,1.06858,0.343057,0.0,0.0,1493.27,0.85,ALERT,vibration,ALERT_1_VIBRATION
3141,1,2025-04-11 16:15:00,35.4195,49.7601,0.610413,0.226685,0.0,0.0,1489.6,0.85,NORMAL,,
3161,1,2025-04-11 16:30:00,27.4029,57.0874,0.985925,0.257268,0.0,0.0,1500.27,0.85,NORMAL,,
3181,1,2025-04-11 16:45:00,35.7251,62.783,0.526964,0.0502457,0.0,0.0,1494.77,0.85,NORMAL,,
3201,1,2025-04-12 07:00:00,32.9367,52.7999,0.991988,0.314053,0.0,0.0,1496.75,0.85,NORMAL,,
3221,1,2025-04-12 07:15:00,24.4778,60.5596,0.962115,0.264249,0.0,0.0,1490.21,0.85,NORMAL,,
3241,1,2025-04-12 07:30:00,28.4341,49.766,0.603753,0.158746,0.0,0.0,1496.76,0.85,NORMAL,,
3261,1,2025-04-12 07:45:00,46.0717,58.189,0.617697,0.339325,0.0,0.0,1497.52,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3281,1,2025-04-12 08:00:00,32.8003,60.7524,1.06969,0.22763,0.0,0.0,1497.28,0.85,ALERT,vibration,ALERT_1_VIBRATION
3301,1,2025-04-12 08:15:00,40.0891,60.3732,0.839652,0.402528,0.0,0.0,1494.93,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3321,1,2025-04-12 08:30:00,27.6684,62.5925,0.775764,0.383387,0.0,0.0,1497.39,0.85,NORMAL,,
3341,1,2025-04-12 08:45:00,29.9921,59.1123,0.819061,0.433799,0.0,0.0,1504.19,0.85,NORMAL,,
3361,1,2025-04-12 09:00:00,44.2662,49.3585,0.514883,0.312024,0.0,0.0,1498.3,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3381,1,2025-04-12 09:15:00,41.2128,51.527,0.626904,0.454283,0.0,0.0,1491.25,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3401,1,2025-04-12 09:30:00,41.2868,59.8268,0.784477,0.143376,0.0,0.0,1489.59,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3421,1,2025-04-12 09:45:00,29.095,60.7912,0.679504,0.381167,0.0,0.0,1492.21,0.85,NORMAL,,
3441,1,2025-04-12 10:00:00,31.9577,51.7096,0.871106,0.198668,0.0,0.0,1495.63,0.85,NORMAL,,
3461,1,2025-04-12 10:15:00,32.0818,59.7793,0.559798,0.445052,0.0,0.0,1493.39,0.85,NORMAL,,
3481,1,2025-04-12 10:30:00,38.3014,48.0228,0.619771,0.289207,0.0,0.0,1494.46,0.85,NORMAL,,
3501,1,2025-04-12 10:45:00,37.4179,57.9165,0.497872,0.163481,0.0,0.0,1501.18,0.85,NORMAL,,
3521,1,2025-04-12 11:00:00,42.0975,56.6628,0.674505,0.344355,0.0,0.0,1496.21,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3541,1,2025-04-12 11:15:00,28.7168,52.7488,0.83254,0.0394527,0.0,0.0,1492.34,0.85,NORMAL,,
3561,1,2025-04-12 11:30:00,35.6324,49.3301,0.707499,0.209474,0.0,0.0,1498.16,0.85,NORMAL,,
3581,1,2025-04-12 11:45:00,32.238,52.14,0.92571,0.352356,0.0,0.0,1488.54,0.85,NORMAL,,
3601,1,2025-04-12 12:00:00,33.0766,58.764,1.0503,0.284109,0.0,0.0,1496.15,0.85,ALERT,vibration,ALERT_1_VIBRATION
3621,1,2025-04-12 12:15:00,36.7346,64.3542,1.4637,0.30543,0.0,0.0,1493.02,0.85,ALERT,courant,ALERT_1_COURANT
3641,1,2025-04-12 12:30:00,36.1806,57.7098,0.830688,0.246038,0.0,0.0,1500.56,0.85,NORMAL,,
3661,1,2025-04-12 12:45:00,30.9647,53.3746,0.590475,0.467544,0.0,0.0,1492.99,0.85,NORMAL,,
3681,1,2025-04-12 13:00:00,37.9119,58.8249,0.583135,0.271968,0.0,0.0,1496.45,0.85,NORMAL,,
3701,1,2025-04-12 13:15:00,41.9355,59.9202,1.12076,0.307968,0.0,0.0,1498.45,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3721,1,2025-04-12 13:30:00,41.7273,54.3826,0.798622,0.374853,0.0,0.0,1494.12,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3741,1,2025-04-12 13:45:00,22.0304,59.7992,0.573376,0.146615,0.0,0.0,1495.46,0.85,NORMAL,,
3761,1,2025-04-12 14:00:00,23.3652,62.7903,0.646566,0.24484,0.0,0.0,1497.55,0.85,NORMAL,,
3781,1,2025-04-12 14:15:00,27.4058,62.6073,0.495909,0.289201,0.0,0.0,1496.8,0.85,NORMAL,,
3801,1,2025-04-12 14:30:00,34.475,58.0332,0.392781,0.310413,0.0,0.0,1494.21,0.85,NORMAL,,
3821,1,2025-04-12 14:45:00,30.5791,57.3391,0.698372,0.232057,0.0,0.0,1501.81,0.85,NORMAL,,
3841,1,2025-04-12 15:00:00,47.0566,53.8369,0.582654,0.340139,0.0,0.0,1493.73,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3861,1,2025-04-12 15:15:00,31.9891,59.5299,0.70858,0.348359,0.0,0.0,1503.62,0.85,NORMAL,,
3881,1,2025-04-12 15:30:00,39.9137,59.0116,0.648532,0.286115,0.0,0.0,1501.54,0.85,NORMAL,,
3901,1,2025-04-12 15:45:00,34.2121,65.9361,0.590267,0.192177,0.0,0.0,1507.04,0.85,ALERT,courant,ALERT_1_COURANT
3921,1,2025-04-12 16:00:00,44.4943,60.1605,0.261416,0.357784,0.0,0.0,1493.68,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
3941,1,2025-04-12 16:15:00,32.8881,44.7446,0.859562,0.214079,0.0,0.0,1491.36,0.85,NORMAL,,
3961,1,2025-04-12 16:30:00,32.9441,55.8926,0.578821,0.28262,0.0,0.0,1493.94,0.85,NORMAL,,
3981,1,2025-04-12 16:45:00,36.9287,56.6607,0.519556,0.225314,0.0,0.0,1492.0,0.85,NORMAL,,
4001,1,2025-04-14 07:00:00,30.1769,60.6871,0.960814,0.403362,0.0,0.0,1495.81,0.85,NORMAL,,
4021,1,2025-04-14 07:15:00,32.3154,51.9983,0.62809,0.357143,0.0,0.0,1490.35,0.85,NORMAL,,
4041,1,2025-04-14 07:30:00,27.6771,58.8475,1.04021,0.385715,0.0,0.0,1497.89,0.85,ALERT,vibration,ALERT_1_VIBRATION
4061,1,2025-04-14 07:45:00,37.7499,62.5327,0.523193,0.366026,0.0,0.0,1488.35,0.85,NORMAL,,
4081,1,2025-04-14 08:00:00,37.1904,57.9531,0.759206,0.28958,0.0,0.0,1490.44,0.85,NORMAL,,
