motor_id,timestamp,temperature,vibration,courant,score_if,score_rules,score_hybride,is_anomalie,di,niveau_risque,health_score,n_exceed,buffer_size
1,2026-02-25 01:38:20,34.89,0.6947,56.84,0.0,0.0,0.0,False,0.0014,FAIBLE,75.5,0,20
1,2026-02-25 01:38:25,34.57,0.6938,58.07,0.0,0.0,0.0,False,0.0013,FAIBLE,75.5,0,20
1,2026-02-25 01:38:50,34.76,0.7236,57.52,0.0,0.0,0.0,False,0.0015,FAIBLE,75.7,0,20
1,2026-02-25 01:38:55,35.01,0.7089,60.38,0.0,0.0,0.0,False,0.0015,FAIBLE,75.8,0,20
1,2026-02-25 01:39:00,34.85,0.6953,54.73,0.0,0.0,0.0,False,0.0014,FAIBLE,75.8,0,20
1,2026-02-25 01:39:05,35.09,0.7097,57.21,0.0,0.0,0.0,False,0.0014,FAIBLE,75.8,0,20
1,2026-02-25 01:39:15,35.04,0.7355,57.24,0.0,0.0,0.0,False,0.0017,FAIBLE,77.0,0,20
1,2026-02-25 01:39:20,34.96,0.6763,56.07,0.0,0.0,0.0,False,0.0016,FAIBLE,77.2,0,20
1,2026-02-25 01:39:25,34.28,0.7196,55.99,0.0,0.0,0.0,False,0.0015,FAIBLE,77.1,0,20
1,2026-02-25 01:39:30,35.19,0.7145,57.49,0.0,0.0,0.0,False,0.0015,FAIBLE,77.2,0,20
1,2026-02-25 01:39:35,35.44,0.7192,57.66,0.0,0.0,0.0,False,0.0014,FAIBLE,77.2,0,20
1,2026-02-25 01:39:40,34.84,0.7096,55.98,0.0,0.0,0.0,False,0.0014,FAIBLE,76.9,0,20
1,2026-02-25 01:40:04,35.33,0.6952,57.59,0.0,0.0,0.0,0,0.0,FAIBLE,50.0,0,1
5,2026-02-25 01:40:04,34.95,0.7021,23.44,0.0,0.0,0.0,0,0.0,FAIBLE,50.0,0,1
18,2026-02-25 01:40:04,35.1,0.8533,25.17,0.0,0.0898,0.0628,0,0.06284904560015334,FAIBLE,50.0,1,1
21,2026-02-25 01:40:04,73.84,1.3275,64.78,0.0,0.0,0.0,0,0.0,FAIBLE,50.0,0,1
1,2026-02-25 01:40:09,35.13,0.6842,56.46,0.0,0.0,0.0,0,0.0,FAIBLE,50.0,0,2
5,2026-02-25 01:40:09,34.85,0.7204,23.32,0.0,0.0,0.0,0,0.0,FAIBLE,50.0,0,2
18,2026-02-25 01:40:09,34.75,0.7218,25.11,0.0,0.0,0.0,0,0.0,FAIBLE,50.0,0,2
21,2026-02-25 01:40:09,74.44,1.3341,60.48,0.0,0.0,0.0,0,0.0,FAIBLE,50.0,0,2
1,2026-02-25 01:40:14,34.52,0.7046,52.87,0.0,0.0,0.0,0,0.0,FAIBLE,79.0,0,3
5,2026-02-25 01:40:14,34.84,0.688,22.98,0.0,0.0,0.0,0,0.0,FAIBLE,78.7,0,3
18,2026-02-25 01:40:14,34.61,0.696,25.48,0.0,0.0,0.0,0,0.014,FAIBLE,76.6,0,3
21,2026-02-25 01:40:14,75.93,1.3914,60.14,0.5,0.0,0.15,0,0.0667,FAIBLE,38.6,0,3
1,2026-02-25 01:40:19,34.55,0.678,57.05,0.0,0.0,0.0,0,0.0,FAIBLE,79.1,0,4
5,2026-02-25 01:40:19,35.5,0.6637,23.1,0.0825,0.0,0.0247,0,0.0082,FAIBLE,78.6,0,4
18,2026-02-25 01:40:19,34.2,0.7238,26.2,0.0,0.0003,0.0002,0,0.0105,FAIBLE,76.2,1,4
21,2026-02-25 01:40:19,75.33,1.4006,64.96,0.4235,0.0,0.127,0,0.084,FAIBLE,39.0,0,4
1,2026-02-25 01:40:24,34.6,0.7166,55.18,0.0,0.0,0.0,0,0.0,FAIBLE,78.8,0,5
5,2026-02-25 01:40:24,36.91,0.6967,23.11,0.2352,0.0,0.0706,0,0.0246,FAIBLE,78.0,0,5
18,2026-02-25 01:40:24,36.25,0.7424,24.78,0.138,0.0131,0.0506,0,0.0219,FAIBLE,75.4,1,5
21,2026-02-25 01:40:24,75.86,1.4595,62.48,0.4424,0.0,0.1327,0,0.095,FAIBLE,38.1,0,5
1,2026-02-25 01:40:29,34.74,0.6966,54.82,0.0,0.0,0.0,0,0.0,FAIBLE,78.5,0,6
5,2026-02-25 01:40:29,36.28,0.6516,23.84,0.133,0.0,0.0399,0,0.0274,FAIBLE,78.6,0,6
18,2026-02-25 01:40:29,35.21,0.7571,25.99,0.0,0.0233,0.0163,0,0.0208,FAIBLE,75.0,1,6
21,2026-02-25 01:40:29,75.61,1.4615,60.9,0.377,0.0,0.1131,0,0.0976,FAIBLE,38.4,0,6
1,2026-02-25 01:40:34,34.69,0.6783,57.62,0.0,0.0,0.0,0,0.0,FAIBLE,78.6,0,7
5,2026-02-25 01:40:34,34.79,0.6865,23.8,0.0,0.0,0.0,0,0.0217,FAIBLE,78.3,0,7
18,2026-02-25 01:40:34,34.58,0.7503,24.22,0.0,0.0186,0.013,0,0.0194,FAIBLE,74.5,1,7
21,2026-02-25 01:40:34,75.89,1.4924,67.42,0.3757,0.0223,0.1284,0,0.1025,FAIBLE,38.3,1,7
1,2026-02-25 01:40:39,35.38,0.7249,56.25,0.0,0.0,0.0,0,0.0,FAIBLE,78.5,0,8
5,2026-02-25 01:40:39,36.22,0.6916,23.8,0.0952,0.0,0.0286,0,0.0226,FAIBLE,78.0,0,8
18,2026-02-25 01:40:39,34.23,0.7529,24.45,0.0,0.0204,0.0143,0,0.0186,FAIBLE,74.1,1,8
21,2026-02-25 01:40:39,76.68,1.5106,62.09,0.413,0.0,0.1239,0,0.1052,FAIBLE,38.2,0,8
1,2026-02-25 01:40:44,34.85,0.7101,57.15,0.0,0.0,0.0,0,0.0,FAIBLE,78.6,0,9
5,2026-02-25 01:40:44,36.02,0.7133,22.8,0.0713,0.0,0.0214,0,0.0223,FAIBLE,77.9,0,9
18,2026-02-25 01:40:44,35.32,0.7442,25.36,0.0,0.0144,0.0101,0,0.0174,FAIBLE,73.4,1,9
21,2026-02-25 01:40:44,76.7,1.5348,63.7,0.3907,0.0,0.1172,0,0.1064,FAIBLE,38.0,0,9
1,2026-02-25 01:40:49,35.07,0.6927,56.74,0.0,0.0,0.0,0,0.0,FAIBLE,78.4,0,10
5,2026-02-25 01:40:49,35.22,0.6737,22.53,0.0,0.0,0.0,0,0.0192,FAIBLE,78.1,0,10
18,2026-02-25 01:40:49,35.73,0.7612,25.17,0.0438,0.0261,0.0314,0,0.0194,FAIBLE,73.1,1,10
21,2026-02-25 01:40:49,77.53,1.5639,62.21,0.4214,0.0,0.1264,0,0.1086,FAIBLE,37.8,0,10
1,2026-02-25 01:40:54,34.66,0.6644,58.45,0.0,0.0,0.0,0,0.0,FAIBLE,78.3,0,11
5,2026-02-25 01:40:54,36.48,0.6938,23.65,0.0835,0.0,0.025,0,0.0199,FAIBLE,77.8,0,11
18,2026-02-25 01:40:54,34.76,0.9651,25.8,0.0052,0.1671,0.1185,0,0.0314,FAIBLE,72.1,1,11
21,2026-02-25 01:40:54,77.59,1.612,62.8,0.4045,0.0,0.1214,0,0.1097,FAIBLE,37.5,0,11
1,2026-02-25 01:40:59,36.63,0.6988,55.34,0.065,0.0,0.0195,0,0.0022,FAIBLE,78.1,0,12
5,2026-02-25 01:40:59,37.08,0.7061,23.02,0.1065,0.0,0.0319,0,0.0212,FAIBLE,77.7,0,12
18,2026-02-25 01:40:59,34.65,0.7782,25.85,0.0167,0.0379,0.0315,0,0.0313,FAIBLE,71.8,1,12
21,2026-02-25 01:40:59,78.81,1.6215,61.08,0.4485,0.0,0.1345,0,0.1121,FAIBLE,37.5,0,12
1,2026-02-25 01:41:04,35.12,0.7189,57.83,0.0,0.0,0.0,0,0.0019,FAIBLE,78.2,0,13
5,2026-02-25 01:41:04,35.75,0.7175,24.09,0.0369,0.0,0.0111,0,0.0201,FAIBLE,77.7,0,13
18,2026-02-25 01:41:04,34.96,0.7918,24.14,0.0227,0.0473,0.0399,0,0.0321,FAIBLE,71.5,1,13
21,2026-02-25 01:41:04,78.88,1.6296,60.94,0.4326,0.0,0.1298,0,0.1137,FAIBLE,37.5,0,13
1,2026-02-25 01:41:09,35.28,0.6739,57.68,0.0,0.0,0.0,0,0.0017,FAIBLE,78.4,0,14
5,2026-02-25 01:41:09,36.04,0.6688,22.12,0.0467,0.0,0.014,0,0.0195,FAIBLE,78.0,0,14
18,2026-02-25 01:41:09,35.62,0.7941,24.12,0.0283,0.0489,0.0427,0,0.033,FAIBLE,71.3,1,14
21,2026-02-25 01:41:09,79.67,1.6523,63.36,0.4499,0.0,0.135,0,0.1154,FAIBLE,37.4,0,14
1,2026-02-25 01:41:14,34.79,0.675,56.67,0.0,0.0,0.0,0,0.0015,FAIBLE,78.5,0,15
5,2026-02-25 01:41:14,37.35,0.6902,23.1,0.096,0.0,0.0288,0,0.0203,FAIBLE,77.8,0,15
18,2026-02-25 01:41:14,35.31,0.7967,24.47,0.033,0.0507,0.0454,0,0.034,FAIBLE,71.1,1,15
21,2026-02-25 01:41:14,79.87,1.705,65.21,0.4412,0.0019,0.1337,0,0.1168,FAIBLE,37.2,1,15
1,2026-02-25 01:41:19,34.87,0.6704,58.09,0.0,0.0,0.0,0,0.0014,FAIBLE,78.6,0,16
5,2026-02-25 01:41:19,37.47,0.7074,24.36,0.0945,0.0,0.0283,0,0.0209,FAIBLE,77.7,0,16
18,2026-02-25 01:41:19,35.12,0.8425,25.28,0.0107,0.0823,0.0608,0,0.0361,FAIBLE,71.7,1,16
21,2026-02-25 01:41:19,79.97,1.7088,62.07,0.4299,0.0,0.129,0,0.1176,FAIBLE,37.1,0,16
1,2026-02-25 01:41:24,35.67,0.6976,60.55,0.0,0.0,0.0,0,0.0013,FAIBLE,78.5,0,17
5,2026-02-25 01:41:24,37.79,0.7106,23.45,0.1002,0.0,0.0301,0,0.0216,FAIBLE,77.6,0,17
18,2026-02-25 01:41:24,36.01,0.8118,23.89,0.0427,0.0611,0.0556,0,0.0375,FAIBLE,71.7,1,17
21,2026-02-25 01:41:24,80.42,1.7583,65.62,0.4322,0.0198,0.1436,0,0.1194,FAIBLE,37.0,2,17
1,2026-02-25 01:41:29,35.21,0.6881,54.16,0.0,0.0,0.0,0,0.0012,FAIBLE,78.4,0,18
5,2026-02-25 01:41:29,36.74,0.6488,23.52,0.0597,0.0,0.0179,0,0.0213,FAIBLE,77.8,0,18
18,2026-02-25 01:41:29,35.83,0.8262,26.04,0.0049,0.0711,0.0512,0,0.0385,FAIBLE,71.8,1,18
21,2026-02-25 01:41:29,80.89,1.7724,61.86,0.435,0.0182,0.1433,0,0.121,FAIBLE,36.9,1,18
1,2026-02-25 01:41:34,36.02,0.6902,54.98,0.0,0.0,0.0,0,0.0011,FAIBLE,78.3,0,19
5,2026-02-25 01:41:34,36.88,0.6849,24.47,0.0609,0.0,0.0183,0,0.0211,FAIBLE,77.7,0,19
18,2026-02-25 01:41:34,35.47,0.8326,24.11,0.0044,0.0755,0.0542,0,0.0395,FAIBLE,71.9,1,19
21,2026-02-25 01:41:34,81.54,1.7441,62.39,0.4432,0.01,0.1399,0,0.1222,FAIBLE,36.9,1,19
1,2026-02-25 01:41:39,34.97,0.6936,57.52,0.0,0.0,0.0,0,0.001,FAIBLE,78.1,0,20
5,2026-02-25 01:41:39,38.13,0.692,23.37,0.0954,0.0,0.0286,0,0.0216,FAIBLE,77.5,0,20
18,2026-02-25 01:41:39,35.43,0.851,26.14,0.0054,0.0882,0.0634,0,0.041,FAIBLE,72.3,1,20
21,2026-02-25 01:41:39,80.86,1.7786,63.16,0.4106,0.0201,0.1372,0,0.123,FAIBLE,36.9,1,20
1,2026-02-25 01:41:44,34.74,0.6694,57.95,0.0,0.0,0.0,0,0.001,FAIBLE,78.3,0,20
5,2026-02-25 01:41:44,37.38,0.7164,25.02,0.0759,0.0,0.0228,0,0.0216,FAIBLE,77.6,0,20
18,2026-02-25 01:41:44,34.91,1.057,26.91,0.0295,0.2306,0.1703,0,0.0491,FAIBLE,70.3,1,20
21,2026-02-25 01:41:44,81.85,1.8624,64.24,0.4223,0.0446,0.1579,0,0.1251,FAIBLE,36.5,1,20
1,2026-02-25 01:41:49,35.83,0.6855,55.36,0.0393,0.0,0.0118,0,0.0016,FAIBLE,78.3,0,20
5,2026-02-25 01:41:49,38.12,0.6901,24.63,0.0984,0.0,0.0295,0,0.0221,FAIBLE,77.4,0,20
18,2026-02-25 01:41:49,34.53,0.8553,24.75,0.0243,0.0912,0.0711,0,0.0503,FAIBLE,70.3,1,20
21,2026-02-25 01:41:49,82.92,1.8655,65.14,0.4097,0.0468,0.1556,0,0.1268,FAIBLE,36.4,2,20
1,2026-02-25 01:41:54,34.81,0.6984,59.07,0.0,0.0,0.0,0,0.0015,FAIBLE,78.2,0,20
5,2026-02-25 01:41:54,37.73,0.702,24.0,0.0669,0.0,0.0201,0,0.022,FAIBLE,77.3,0,20
18,2026-02-25 01:41:54,34.78,0.884,26.04,0.02,0.111,0.0837,0,0.0521,FAIBLE,70.2,1,20
21,2026-02-25 01:41:54,82.52,1.879,66.94,0.4157,0.0673,0.1718,0,0.1292,FAIBLE,36.3,2,20
1,2026-02-25 01:41:59,34.14,0.6686,58.44,0.0,0.0,0.0,0,0.0014,FAIBLE,78.3,0,20
5,2026-02-25 01:41:59,38.35,0.6929,24.68,0.0432,0.0,0.013,0,0.0214,FAIBLE,76.7,0,20
18,2026-02-25 01:41:59,35.68,0.8662,26.56,0.0202,0.0987,0.0751,0,0.0532,FAIBLE,70.0,1,20
21,2026-02-25 01:41:59,83.75,1.8777,62.61,0.4367,0.049,0.1653,0,0.1311,FAIBLE,36.2,1,20
1,2026-02-25 01:42:04,35.11,0.6976,56.43,0.0,0.0,0.0,0,0.0013,FAIBLE,78.0,0,20
5,2026-02-25 01:42:04,38.93,0.7051,23.79,0.0795,0.0,0.0238,0,0.0216,FAIBLE,76.7,0,20
18,2026-02-25 01:42:04,35.15,0.8849,25.23,0.019,0.1116,0.0838,0,0.0547,FAIBLE,70.1,1,20
21,2026-02-25 01:42:04,84.04,1.9128,64.79,0.4529,0.0596,0.1776,0,0.1334,FAIBLE,36.0,2,20
1,2026-02-25 01:42:09,35.63,0.7017,54.47,0.0,0.0,0.0,0,0.0013,FAIBLE,78.1,0,20
5,2026-02-25 01:42:09,39.06,0.7036,22.79,0.1281,0.0,0.0384,0,0.0224,FAIBLE,75.8,0,20
18,2026-02-25 01:42:09,35.07,0.9218,24.84,0.0217,0.1371,0.1025,0,0.0571,FAIBLE,70.4,1,20
21,2026-02-25 01:42:09,83.39,1.9375,67.34,0.425,0.0881,0.1892,0,0.1362,FAIBLE,36.0,2,20
1,2026-02-25 01:42:14,34.31,0.6881,56.62,0.0,0.0,0.0,0,0.0012,FAIBLE,78.0,0,20
5,2026-02-25 01:42:14,38.53,0.6809,24.42,0.0693,0.0,0.0208,0,0.0223,FAIBLE,75.9,0,20
18,2026-02-25 01:42:14,34.46,0.9555,23.99,0.0252,0.1604,0.1199,0,0.06,FAIBLE,70.7,1,20
21,2026-02-25 01:42:14,83.63,1.9714,65.16,0.4085,0.0779,0.1771,0,0.138,FAIBLE,35.9,2,20
1,2026-02-25 01:42:19,35.08,0.6807,56.08,0.0,0.0,0.0,0,0.0012,FAIBLE,78.2,0,20
5,2026-02-25 01:42:19,39.25,0.6638,23.35,0.0969,0.0,0.0291,0,0.0226,FAIBLE,76.6,0,20
18,2026-02-25 01:42:19,35.99,0.9165,23.2,0.028,0.1335,0.1018,0,0.0619,FAIBLE,70.6,1,20
21,2026-02-25 01:42:19,84.38,2.0123,65.47,0.4304,0.0959,0.1962,0,0.1407,FAIBLE,35.9,3,20
1,2026-02-25 01:42:24,34.93,0.6775,53.5,0.0,0.0,0.0,0,0.0011,FAIBLE,78.0,0,20
5,2026-02-25 01:42:24,40.71,0.672,24.96,0.1647,0.0124,0.0581,0,0.0242,FAIBLE,76.9,1,20
18,2026-02-25 01:42:24,35.09,0.8972,25.61,0.0305,0.1201,0.0932,0,0.0632,FAIBLE,70.2,1,20
21,2026-02-25 01:42:24,84.72,2.0204,66.26,0.4157,0.1084,0.2006,0,0.1433,FAIBLE,35.9,3,20
1,2026-02-25 01:42:29,35.02,0.6958,58.43,0.0,0.0,0.0,0,0.001,FAIBLE,78.1,0,20
5,2026-02-25 01:42:29,40.09,0.7292,23.97,0.1083,0.0016,0.0336,0,0.0246,FAIBLE,76.4,1,20
18,2026-02-25 01:42:29,35.3,0.9119,24.49,0.033,0.1303,0.1011,0,0.0647,FAIBLE,69.9,1,20
21,2026-02-25 01:42:29,86.02,2.0725,64.8,0.4529,0.1228,0.2218,0,0.1466,FAIBLE,35.9,2,20
1,2026-02-25 01:42:34,34.89,0.7239,55.14,0.0,0.0,0.0,0,0.001,FAIBLE,77.7,0,20
5,2026-02-25 01:42:34,39.03,0.6761,24.91,0.0585,0.0,0.0175,0,0.0243,FAIBLE,76.6,0,20
18,2026-02-25 01:42:34,34.59,1.2569,24.43,0.1215,0.3687,0.2946,1,0.0745,FAIBLE,64.5,1,20
21,2026-02-25 01:42:34,86.15,2.0706,64.96,0.4202,0.1234,0.2124,0,0.1493,FAIBLE,35.9,2,20
1,2026-02-25 01:42:39,35.32,0.7116,58.05,0.0,0.0,0.0,0,0.001,FAIBLE,78.0,0,20
5,2026-02-25 01:42:39,40.16,0.6881,23.9,0.1323,0.0028,0.0416,0,0.025,FAIBLE,76.6,1,20
18,2026-02-25 01:42:39,34.96,0.9611,25.63,0.1175,0.1643,0.1502,0,0.0775,FAIBLE,64.4,1,20
21,2026-02-25 01:42:39,85.84,2.0801,68.35,0.4088,0.1545,0.2308,0,0.1525,FAIBLE,36.0,3,20
1,2026-02-25 01:42:44,36.07,0.6797,57.23,0.0,0.0,0.0,0,0.0009,FAIBLE,77.6,0,20
5,2026-02-25 01:42:44,40.38,0.7008,25.5,0.1302,0.0114,0.047,0,0.0259,FAIBLE,76.3,2,20
18,2026-02-25 01:42:44,34.12,0.9732,25.26,0.1115,0.1727,0.1543,0,0.0804,FAIBLE,64.4,1,20
21,2026-02-25 01:42:44,86.5,2.1341,65.84,0.4049,0.1526,0.2283,0,0.1554,FAIBLE,35.9,3,20
1,2026-02-25 01:42:49,35.22,0.6941,56.17,0.0,0.0,0.0,0,0.0009,FAIBLE,77.5,0,20
5,2026-02-25 01:42:49,40.0,0.6988,25.01,0.0795,0.0,0.0238,0,0.0258,FAIBLE,75.7,0,20
18,2026-02-25 01:42:49,34.79,0.9492,25.73,0.1182,0.1561,0.1447,0,0.0828,FAIBLE,64.0,1,20
21,2026-02-25 01:42:49,87.12,2.1681,66.13,0.4175,0.1704,0.2445,0,0.1587,FAIBLE,35.9,3,20
1,2026-02-25 01:42:54,35.27,0.7213,56.99,0.0,0.0,0.0,0,0.0009,FAIBLE,77.7,0,20
5,2026-02-25 01:42:54,40.08,0.6825,24.3,0.0783,0.0014,0.0245,0,0.0257,FAIBLE,75.8,1,20
18,2026-02-25 01:42:54,34.95,0.9568,24.82,0.1277,0.1613,0.1512,0,0.0852,FAIBLE,63.4,1,20
21,2026-02-25 01:42:54,87.77,2.162,62.16,0.434,0.1636,0.2447,0,0.1618,FAIBLE,36.0,2,20
1,2026-02-25 01:42:59,34.5,0.688,57.14,0.0,0.0,0.0,0,0.0008,FAIBLE,77.4,0,20
5,2026-02-25 01:42:59,40.94,0.6658,25.63,0.0945,0.0243,0.0453,0,0.0264,FAIBLE,76.1,2,20
18,2026-02-25 01:42:59,34.62,0.9764,23.58,0.1226,0.1749,0.1592,0,0.0878,FAIBLE,63.4,1,20
21,2026-02-25 01:42:59,87.64,2.1786,67.55,0.4166,0.1909,0.2586,1,0.1653,FAIBLE,36.1,3,20
1,2026-02-25 01:43:04,34.99,0.7168,57.04,0.0,0.0,0.0,0,0.0008,FAIBLE,77.9,0,20
5,2026-02-25 01:43:04,41.29,0.6721,26.24,0.1365,0.0449,0.0724,0,0.0281,FAIBLE,76.0,2,20
18,2026-02-25 01:43:04,35.14,0.9934,25.37,0.1265,0.1866,0.1686,0,0.0905,FAIBLE,63.1,1,20
21,2026-02-25 01:43:04,88.01,2.2767,66.92,0.4136,0.2168,0.2759,1,0.1691,FAIBLE,35.7,3,20
1,2026-02-25 01:43:09,34.96,0.6893,56.07,0.0,0.0,0.0,0,0.0008,FAIBLE,77.9,0,20
5,2026-02-25 01:43:09,40.84,0.6552,23.9,0.1188,0.0147,0.0459,0,0.0287,FAIBLE,76.1,1,20
18,2026-02-25 01:43:09,34.44,0.9842,25.02,0.1356,0.1803,0.1669,0,0.093,FAIBLE,62.6,1,20
21,2026-02-25 01:43:09,88.67,2.2335,64.35,0.4139,0.192,0.2586,1,0.172,FAIBLE,35.8,2,20
1,2026-02-25 01:43:14,34.65,0.7448,58.49,0.0,0.0,0.0,0,0.0007,FAIBLE,77.1,0,20
5,2026-02-25 01:43:14,41.18,0.707,24.83,0.0915,0.0206,0.0419,0,0.0291,FAIBLE,76.2,1,20
18,2026-02-25 01:43:14,34.34,1.0068,24.13,0.1411,0.1959,0.1795,0,0.0958,FAIBLE,62.2,1,20
21,2026-02-25 01:43:14,88.71,2.2614,65.7,0.4355,0.2069,0.2755,1,0.1754,FAIBLE,35.9,3,20
1,2026-02-25 01:43:19,34.35,0.6994,53.91,0.0,0.0,0.0,0,0.0007,FAIBLE,77.1,0,20
5,2026-02-25 01:43:19,40.64,0.7066,25.54,0.0978,0.0169,0.0412,0,0.0295,FAIBLE,76.3,2,20
18,2026-02-25 01:43:19,35.1,1.0038,24.13,0.148,0.1938,0.1801,0,0.0984,FAIBLE,61.8,1,20
21,2026-02-25 01:43:19,88.93,2.2651,66.89,0.4124,0.2208,0.2783,1,0.1786,FAIBLE,36.1,3,20
1,2026-02-25 01:43:24,34.69,0.6846,55.18,0.0,0.0,0.0,0,0.0007,FAIBLE,76.9,0,20
5,2026-02-25 01:43:24,39.72,0.6668,25.92,0.048,0.0147,0.0247,0,0.0293,FAIBLE,76.2,1,20
18,2026-02-25 01:43:24,35.37,1.2512,25.28,0.09,0.3648,0.2824,1,0.1043,FAIBLE,63.3,1,20
21,2026-02-25 01:43:24,89.67,2.3114,64.39,0.4025,0.2231,0.2769,1,0.1816,FAIBLE,36.1,2,20
1,2026-02-25 01:43:29,35.13,0.7124,56.2,0.0,0.0,0.0,0,0.0007,FAIBLE,77.1,0,20
5,2026-02-25 01:43:29,41.6,0.6795,24.85,0.1161,0.028,0.0544,0,0.03,FAIBLE,76.2,1,20
18,2026-02-25 01:43:29,34.64,1.0541,26.25,0.0839,0.2286,0.1852,0,0.1066,FAIBLE,63.2,1,20
21,2026-02-25 01:43:29,91.28,2.3571,64.46,0.4628,0.2499,0.3138,1,0.1856,FAIBLE,35.9,2,20
1,2026-02-25 01:43:34,35.54,0.7231,56.19,0.042,0.0,0.0126,0,0.001,FAIBLE,77.6,0,20
5,2026-02-25 01:43:34,40.92,0.7142,24.28,0.0771,0.0161,0.0344,0,0.0301,FAIBLE,76.3,1,20
18,2026-02-25 01:43:34,34.25,1.0375,26.09,0.0813,0.2171,0.1764,0,0.1086,FAIBLE,63.1,1,20
21,2026-02-25 01:43:34,90.59,2.3426,65.68,0.4052,0.2462,0.2939,1,0.1888,FAIBLE,35.9,3,20
1,2026-02-25 01:43:39,34.23,0.6895,54.35,0.0,0.0,0.0,0,0.001,FAIBLE,77.4,0,20
